Date,Time,Location,Operator,Flight,Route,Type,Registration,cn,Aboard,Fatalities,Ground
09/06/1977,14:52,Mt Iliamna Alaska,Alaska Aeronautical Industries,302,Iliamna - Anchorage,de Havilland Canada DHC-6 Twin Otter 200,N563MA,196,13.0,13.0,0.0
11/19/1977,21:48,Near Funchal Island of Madeira Portugal,TAP (Air Portugal),425,Brussels - Funchal,Boeing B-727-282,CS-TBR,20972/1096,164.0,131.0,0.0
12/04/1977,20:15,Straits of Johore near Kampung Ladang Malaysia,Malaysia Airlines,653,Penang - Kuala Lumpur,Boeing B-737-2H6,9M-MBD,20585/306,100.0,100.0,0.0
12/13/1977,19:22,Evansville Indiana,"National Jet Services Inc.,  (Air Indiana)",216,Evansville - Nashville,Douglas DC-3,N51071,4837,29.0,29.0,0.0
01/01/1978,20:15,Off Bandra Maharashtra India,Air India,855,Bombay - Dubai,Boeing B-747-237B,VT-EBD,19959/124,213.0,213.0,0.0
02/10/1978,16:50,Richland Washington,Columbia PacifiAirlines,23,"Richland, WA - Seattle, WA",Beechcraft 99,N199EA,U037,17.0,17.0,0.0
02/11/1978,12:55,Cranbrook British Columbia Canada,PacifiWestern Airlines,314,Calgary - Cranbrook,Boeing B-737-275,C-FPWC,20142/253,49.0,42.0,0.0
03/01/1978,09:25,LAX Los Angeles California,Continental Airlines,603,Los Angeles - Honolulu,McDonnell Douglas DC-10-10,N68045,46904,200.0,2.0,0.0
05/08/1978,21:20,Pensacola Florida,National Airlines,193,"Miami, FL - Pensacola, FL - Mobile, AL",Boeing B-727-235,N4744,19464,58.0,3.0,0.0
06/26/1978,08:08,Toronto Canada,Air Canada,189,Toronto - Winnipeg,McDonnell Douglas DC-9-32,C-FTLV,47197,107.0,2.0,0.0
09/03/1978,17:30,Near Kariba Rhodesia Zimbabwe,Air Rhodesia,825,Kariba - Salisbury,Vickers Viscount 782D,VP-WAS,297,56.0,38.0,0.0
09/25/1978,09:02,San Diego California,PacifiSouthwest Airlines / Private,182,Los Angeles - San Diego,Boeing B-727-214 / Cessna 172,N533PS/N7711G,19688/589 / ,137.0,137.0,7.0
12/04/1978,19:45,Near Steamboat Springs Coloado,Rocky Mountain Airways,217,Steamboat Springs - Denver,de Havilland Canada DHC-6 Twin Otter 300,N25RM,387,22.0,2.0,0.0
12/23/1978,00:39,Near Cinisi Sicily Italy,Alitalia,4128,Rome - Palermo,McDonnell Douglas DC-9-32,I-DIKQ,47227/334,129.0,108.0,0.0
12/28/1978,18:15,Portland Oregon,United Air Lines,173,Denver - Portland,McDonnell Douglas DC-8-61,N8082U,45972/357,189.0,10.0,0.0
02/12/1979,13:00,Clarksburg West Virginia,Allegheny Airlines,561,Clarksburg - Washington DC,Nord 262,N29824,48,25.0,2.0,0.0
03/06/1979,18:55,Near Probolinggo Indonesia,Garuda Indonesia Airlines,553,Denpasar - Surabaya,Fokker F-28 Fellowship 1000,PK-GVP,11094,4.0,4.0,0.0
03/10/1979,17:52,Off Marina del Rey California,Swift Aire Lines Inc.,235,New York - Santa Monica,Aerospatiale Nord 262A-33,N418SA,41,7.0,3.0,0.0
05/25/1979,15:04,Chicago OHare Illinois,American Airlines,191,"Chicago, IL- Los Angeles, CA",McDonnell Douglas DC-10-10,N110AA,46510/22,271.0,271.0,2.0
05/30/1979,20:55,Rockland Maine,Downeast Airlines,46,Boston - Rockland,de Havilland DHC-6-200,N68DE,229,18.0,17.0,0.0
06/17/1979,22:48,Hyannis Massachusetts,Air New England,248,"New York, NY - Hyannis, MA",de Havilland Canada DHC-6 Twin Otter 300,N383EX,245,10.0,1.0,0.0
07/24/1979,09:22,St Croix Virgin Islands,Prinair,610,St. Croix - St. Kitts,de Havilland DH-114 Heron,N575PR,14125,21.0,8.0,0.0
08/11/1979,13:35,Dneprodzerzhinsk Ukraine USSR,Aeroflot / Aeroflot,7880,Tashkent - Donetsk - Minsk /Chelyabinsk to Kishinev,Tupolev TU-134A / Tupolev Tu-134A,65735/65816,2351516 / 05040,178.0,178.0,0.0
09/14/1979,20:47,Near Klamath Falls Oregon,Butler Aviation Inc.,-,Redmond - Klamath Falls - Medford,Douglas DC-7,N455SW,44287,12.0,12.0,0.0
10/31/1979,05:42,Mexico City Mexico,Western Airlines,2605,"Los Angeles, CA  - Mexico City, Mexico",McDonnell Douglas DC-10-10,N903WA,46929/107,88.0,72.0,1.0
11/26/1979,02:03,Near At Taif Jeddah Saudi Arabia,Pakistan International Airlines,740,Jeddah - Karachi,Boeing B-707-340C,AP-AWZ,20275/844,156.0,156.0,0.0
11/28/1979,12:49,Near Mt Erebus Ross Ice Shelf Antarctica,Air New Zealand,901,Auckland - Christchurch,McDonnell Douglas DC-10-30,ZK-NZP,46910/182,257.0,257.0,0.0
03/14/1980,11:00,Near Warsaw Poland,LOT Polish Airlines,007,New York City - Warsaw,Ilyushin IL-62,SP-LAA,11004,87.0,87.0,0.0
04/25/1980,13:21,Tenerife Canary Islands,Dan Air Services,1008,Manchester - Tenerife,Boeing B-727-64,G-BDAN,19279/288,146.0,146.0,0.0
04/27/1980,06:55,Don Muang Thailand,Thai Airways,231,Khon Kaen - Bangkok,Hawker Siddeley HS-748-2,HS-THB,1568,53.0,44.0,0.0
06/12/1980,15:46,Valley Nebraska,Air Wisconsin,965,"Appleton, WI - Minneapolis, MN, - Lincoln, NE",Swearingen 226TC Metro II,N6505,TC-228,15.0,13.0,0.0
06/27/1980,20:59,Tyrrhenian Sea  off Ustica Italy,Itavia,870,Bologna - Palermo,McDonnell Douglas DC-9-15,I-TIGI,45724/22,81.0,81.0,0.0
07/07/1980,00:39,Nar AlmaAta Kasakastan USSR,Aeroflot,4225,Alma Ata - Simferopol,Tupolev TU-154B,CCCP-85355,355,166.0,166.0,0.0
08/19/1980,19:08,Near Riyadh Saudi Arabia,Saudi Arabian Airlines,163,Riyadh - Jeddah,Lockheed 1011-200 TriStar,HZ-AHK,1169,301.0,301.0,0.0
01/20/1981,11:27,Spokane Washington,Cascade Airways,201,Moses Lake - Spokane,Beechcraft 99A,N390CA,U-101,9.0,7.0,0.0
04/17/1981,16:01,Loveland Colorado,Air US / Private,716 / -,"Denver, CO - Gillette, WY",Hadley Page 137Jetstream I / Cessna 206,N11360 / N4862F,238,19.0,15.0,0.0
05/07/1981,10:53,Rio de la Plata Argentina,Austral Lineas Aeras (Argentina),901,Tucuman - Buenos Aires,BAC One-Eleven 529FR,LV-LOX,212,31.0,31.0,0.0
08/22/1981,10:00,Near Sanyi Miaoli Taiwan,Far Eastern Air Transport,103,Taipei - Kaohsiung,Boeing B-737-222,B-2603,19939/151,110.0,110.0,0.0
10/06/1981,17:12,Moerdijk Netherlands,NLM (Nederlandse Luchtvaart Maatschappij),431,Rotterdam - Eindhoven - Hamburgh,Fokker F-28 Fellowship 4000,PH-CHI,11141,17.0,17.0,0.0
12/01/1981,08:53,Mt San Pietro near Ajaccio Corsica France,Inex Adria Aviopromet (Yugoslavia),JP1308,Ljubljana - Ajaccio,McDonnell Douglas MD-81,YU-ANA,48047/998,180.0,180.0,0.0
01/13/1982,16:01,Washington DC,Air Florida,90,"Washington D.C. - Fort Lauderdale, FL",Boeing B-737-222,N62AF,19556/130,79.0,74.0,4.0
01/23/1982,19:36,Logan Airport  Boston Massachusett,World Airways,30H,"Newark, NJ - Boston, MA",McDonnell Douglas DC-10-30CF,N113WA,47821/320,212.0,2.0,0.0
02/09/1982,08:47,Tokyo Japan,Japan Air Lines,350,Fukuoka - Tokyo,McDonnell Douglas DC-8-61,JA-8061,45889/291,174.0,24.0,0.0
02/21/1982,15:33,Providence Rhode Island,Pilgrim Airlines,458,New York City - Bridgeport - New Haven - Groton - Boston,de Havilland DHC -6-100,N127PM,105,12.0,1.0,0.0
03/11/1982,13:26,Mehamn Norway,Wideroe's Flyveselksap,933,Berlevag - Mehamn,de Havilland Canada DHC-6 Twin Otter 300,LN-BNK,568,15.0,15.0,0.0
06/24/1982,20:44,Mount Galunggung Indonesia,British Airways,009,Kuala Lampur - Perth,Boeing B-747,G-BDXH,21635/365,257.0,0.0,0.0
06/28/1982,10:50,Southern Belarus USSR,Aeroflot,8641,Leningrad - Kiev,Yakovlev YAK-42,CCCP-45229,8040104,132.0,132.0,0.0
04/26/1982,16:45,Near Yangshuo Guangxi China,CAAC,3303,Guangzhou - Guilin,Hawker Siddeley Trident 2E,B-266,2170,112.0,112.0,0.0
06/08/1982,02:25,Near Pacatuba Brazil,VASP,168,Rio de Janerio - Fortaleza,Boeing B-727-212A,PP-SRK,21347/1282,137.0,137.0,0.0
07/09/1982,16:09,Kenner Louisiana,Pan American World Airways,759,New Orleans - Las Vegas,Boeing B-727-235,N4737,19457/518,145.0,145.0,8.0
09/13/1982,12:00,Near Malaga Spain,Spantax,995,Malaga - New York City,McDonnell Douglas DC-10-30CF,EC-DEG,46962/238,394.0,50.0,0.0
12/09/1982,13:27,La Serena Chile,Aeronor Chile,304,Santiago - La Serena,Fairchild F-27J,CC-CJE,0063,46.0,46.0,0.0
