Date,Time,Location,Route,Type,Aboard
02/26/1954,10:32,Wright Wyoming,Salt Lake City - Cedar City - Rapid City,Convair CV-240,9.0
04/08/1954,19:10,Off Stromboli Italy,Rome - Cairo,de Havilland DH106 Comet 1,21.0
08/22/1954,17:03,Near Mason City Iowa,Memphis - Minneapolis,Douglas DC-3,19.0
09/05/1954,02:30,Foynes Ireland,Shannon - New York City,Lockheed 1049C-55-81 S Constellation,56.0
11/30/1954,11:15,Berlin New Hampshire,"Laconia, NH - Berlin, NH",Douglas DC-3,7.0
12/18/1954,14:00,New York New York,Rome - New York City,Douglas DC-6B,32.0
12/22/1954,23:00,Pittsburgh Pennsylvania,Newark - Tacoma,Douglas DC-3,28.0
01/19/1955,16:25,Des Moines Iowa,Newark - Des Moines - Lincoln,Convair CV-340,39.0
02/19/1955,07:31,Albuquerque New Mexico,Albuquerque - Sante Fe,Martin 404,16.0
02/23/1955,09:20,Salisbury  Zimbabwe,Salisbury - Lusaka,Douglas DC-3,26.0
03/20/1955,22:36,Springfield Mississippi,Newark - Chicago - St. Louis - Springfield - Tulsa,Convair CV-240-0,35.0
03/26/1955,11:12,Off the Oregon coast,Portland - Honolulu,Boeing 377 Stratocruiser 10-26,23.0
07/17/1955,06:24,Chicago Illinois,"Kansas City, MO - Chicago",Convair CV-340-32,43.0
07/27/1955,07:40,Near Petrich Bulgaria,Wien - Tel Aviv,Lockheed 049 Constellation,58.0
10/06/1955,07:26,Near Centennial Wyoming,Denver - Salt Lake City - San Francisco,Douglas DC-4,66.0
11/01/1955,19:03,Longmont Colorado,Denver - Portland,Douglas DC-6B,44.0
11/17/1955,23:59,Seattle Washingon,Seattle - Newark,Douglas C-54,74.0
12/21/1955,03:43,Jacksonville Florida,Miami - Jacksonville,Lockheed 749C-79-12 Constellation,17.0
04/01/1956,19:20,Pittsburgh Pennsylvania,Pittsburgh - Newark,Martin 404,36.0
04/02/1956,08:10,Seattle Washington,Seattle - Portland,Boeing 377 Stratocruiser 10-30,38.0
04/09/1956,09:51,Skilak Lake Alaska,Anchorage - Seward,Aero Commander  520,6.0
06/30/1956,10:32,Grand Canyon Arizona,Los Angeles - Chicago / Los Angeles - Kansas City,Douglas DC-7 / Lockheed S Constellation,128.0
07/09/1956,13:53,Near Flat Rock Michigan,Chicago - Montreal,Vickers Viscount,35.0
08/29/1956,20:45,Cold Bay Alaska,Vancouver - Hong Kong,Douglas DC-6B,22.0
10/02/1956,18:25,Near Nome Alaska,Unalakleet and Nome,Stinson AT-19,5.0
10/16/1956,06:15,Over the PacifiOcean,Honolulu - San Francisco,Boeing  377 Stratocruiser,31.0
11/27/1956,07:50,Caracas Venezuela,New York City - Maiquetia,Lockheed 749-79-34 Constellation,25.0
12/09/1956,19:15,Near Chilliwack British Columbia Canada,Vancouver - Toronto,Canadair DC-4M-2 Northstar,62.0
01/06/1957,00:01,Owasso Oklahoma,Joplin - Owasso,Convair CV-240-0,10.0
02/01/1957,18:02,New York New York,New York City - Miami,Douglas DC-6A,101.0
03/02/1957,17:19,Blyn Washington,Fairbanks - Seattle,Douglas C-54B,5.0
04/10/1957,15:20,Anchieta Island Brazil,Rio de Janerio - Sao Paulo,Douglas DC-3,30.0
05/09/1957,19:04,Barajas Madrid Spain,Santiago de Compostella - Madrid,Bristol 170 Freighter,37.0
06/14/1957,23:10,Near Moscow Russia,Warsaw - Moscow,Ilyushin P-14,13.0
07/16/1957,03:36,Near Biak Indonesia,Mokmer - Manila,Lockheed 1049C Super Constellation,68.0
07/25/1957,03:37,Daggett California,Minneapolis -- Salt Lake - Cedar City - Las Vegas- LA,Convair CV-240,16.0
09/15/1957,20:46,New Bedford Massachusett,Martha's Vineyard - New Bedford,Douglas DC-3,24.0
11/09/1957,16:27,900 miles E of Honolulu Hawaii PacifiOcean,San Fransisco - Honolulu,Boeing - 377-10-29 Stratocruiser,44.0
02/06/1958,14:17,Munich Germany,Munich - Manchester,Airspeed Ambassador A5-57,44.0
04/06/1958,23:19,Freeland Michigan,New York - Detroit - Saginaw - Chicago,Vickers Viscount 745D,47.0
04/07/1958,09:00,Mt Illiniza Ecuador,Guayaquil - Quito,Douglas DC-3,32.0
04/21/1958,08:30,Near Sloan 10 miles SW of Las Vegas Nevada,Los Angeles - New York City,Douglas DC-7 / F-100F,49.0
05/20/1958,11:29,Brunswick Maryland,Pittsburgh - Baltimore,Vickers Viscount 745D / T-33A,11.0
08/14/1958,03:45,North AtlantiOcean 100 miles W of Galway Bay Ireland,Amsterdam - Shannon - Gander - New York,Lockheed 1049H Super Constellation,99.0
10/22/1958,11:50,Anzio Italy,London - Napoli,Vickers Viscount 701C,31.0
11/01/1958,02:01,Nipe Bay Cuba,Miami - Varadero,Vickers Viscount 755D,20.0
12/26/1958,12:52,Salisbury Zimbabwe,Johannesberg - Salisbury - Brazzaville - Nice - Paris,Douglas DC-6B,70.0
01/08/1959,20:32,Mt Holston Tennessee,Nashville - Knoxville - Tri-City Aport,Douglas DC-3,10.0
01/22/1959,15:00,Dabouk Jordan,Jerusalem - Dobouk,Convair CV-240-2,15.0
02/03/1959,01:00,Mason City Iowa,Mason City - Fargo,Beechcraft Bonanza 35,4.0
02/03/1959,23:56,La Guardia Airport New York NY,Chicago - New York City,Lockheed  188A Electra,73.0
05/12/1959,15:29,Charleston West Virginia,Pittsburg - Charleston,Lockheed C-69 Constellation,44.0
05/12/1959,16:13,Chase Maryland,New York City - Atlanta,Vickers Viscount 745D,31.0
06/26/1959,17:35,Near Varese Lombardia 20 miles NW of Milan Italy,Milan - Paris,Lockheed 1649A Starliner,68.0
08/15/1959,16:42,Calverton New York,Training,Boeing 707-123,5.0
09/24/1959,17:20,Great Sitkin Island Alaska,Shemya - Cold Bay - Adak - Anchorage,Douglas C-54B,16.0
09/29/1959,23:09,Buffalo Texas,Houston - Dallas,Lockheed 188A Electra,34.0
10/26/1959,20:18,Santa Maria California,Los Angeles - Oxnard - Santa Maria - Paso Robles,Douglas C-47A-DL,19.0
10/29/1959,15:25,Athens Greece,Athens - Thessaloniki,Douglas DC-3,18.0
10/30/1959,20:40,Waynesborough Virginia,"Washington DC - Charlottsville, VA",Douglas DC-3,27.0
11/04/1959,23:07,St Cleophas Quebec Canada,Montreal - Hall Lake,Douglas C-54A,5.0
11/16/1959,00:55,Gulf of Mexico,Tampa - New Orleans,Douglas DC-7B,42.0
11/24/1959,05:35,Chicago Illinois,Chicago - Los Angeles,Lockheed L-1049H Super Constellation,3.0
12/01/1959,09:47,Willamsport Pennsylvania,Harrisburg - Willamsport,Martin 202,26.0
01/06/1960,02:38,WilmingtonBolivia North Carolina,New York - Miami,Douglas DC-6B,34.0
01/18/1960,22:19,Charles City Virginia,Washington D.C. - Norfolk,Vickers Viscount 745D,50.0
01/19/1960,18:47,Ankara Turkey,Istanbul - Ankara,Sud Aviation Caravelle 1,42.0
03/17/1960,15:25,Near Cannelton 10 mile SE of Tell City Indiana,Chicago - Miami,Lockheed 188C Electra,63.0
03/19/1960,11:10,Cordoba Colombia,San Andres - Medellin,Curtiss C-46,46.0
04/19/1960,20:48,Bogota Colombia,Miami - Medellin - Bogota,Curtiss C-46,51.0
06/14/1960,04:47,Mt Gilbert Alaska,Cordova - Anchorage,Lockheed 749A-79-32 Constellation,14.0
07/14/1960,04:30,Off Manila Philippines,Okinawa - Manila,Douglas DC-7C,58.0
07/15/1960,09:40,Near Jima Ethiopia,Bulchi - Jimma,Douglas DC-3,11.0
08/29/1960,06:50,Off Dakar Senegal,Paris - Dakar,Lockheed 1049G Super Constellation,63.0
09/19/1960,06:02,Agana Guam Mariana Islands,Guam - Wake Island,Douglas DC-6AB,94.0
09/26/1960,23:40,Moscow Russia,Warsaw - Moscow,Vickers Viscount 837,37.0
09/29/1960,12:15,Off Elba Italy,Geneva - Rome,Vickers Viscount 739B,21.0
10/04/1960,17:40,Boston Massachusett,Boston - Philadelphia,Lockheed 188A Electra,72.0
10/28/1960,11:39,Near Missoula Montana,Spokane - Missoula,Douglas C-54A-DC,12.0
04/03/1961,23:57,Llico Chile,Temuco - Santiago,Douglas DC-3,24.0
05/10/1961,02:30,Stah Algeria,"Fort Lamy, Chad - Marseilles, France",Lockheed 1649A Starliner,78.0
12/16/1960,10:33,Staten Island  Brooklyn New York,Chicago - New York City / Columbus - New York City,MD DC-8-11 / Lockheed  1049 S Const,128.0
12/22/1960,12:31,Cebu City Philippines,Cebu - Davao,Douglas DC-3,37.0
01/03/1961,07:40,Koivulahti Finland,Kokkola - Vaasa,Douglas DC-3,25.0
01/19/1961,20:25,New York New York Idlewild,New York - Mexico City,McDonnell Douglas DC-8-21,106.0
